model_name,model_id,synonyms,model_type,growth_properties,doi,pmed,model_treatment,model_comments,msi_status,mutational_burden,ploidy,parent_id,mutation_data,methylation_data,expression_data,cnv_data,crispr_ko_data,drug_data,sample_id,tissue,tissue_status,cancer_type,cancer_type_detail,age_at_sampling,sampling_day,sampling_month,sampling_year,sample_treatment,sample_treatment_details,sample_site,tnm_t,tnm_n,tnm_m,tnm_integrated,tumour_grade,patient_id,species,gender,ethnicity,smoking_status,model_relations_comment,COSMIC_ID,BROAD_ID,CCLE_ID,RRID,suppliers
CESS,SIDM00917,,Cell Line,Suspension,,,,,MSS,7.6,2.00177214,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00100,Haematopoietic and Lymphoid,Tumour,Acute Myeloid Leukemia,"('Acute Myeloid Leukemia  (C3171)',)",,,,,Unknown,,Blood,,,,,,SIDP00082,Homo Sapiens,Male,White,Unknown,,910688,ACH-002218,CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_0209,ATCC:TIB-190
CFPAC-1,SIDM00130,,Cell Line,Adherent,,,,,MSS,4,3.202607903,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00807,Pancreas,Metastasis,Pancreatic Carcinoma,"('Pancreatic Ductal Adenocarcinoma  (C9120)',)",26,,,,Unknown,,Liver,,,,,,SIDP00720,Homo Sapiens,Male,White,Unknown,,906821,ACH-000138,CFPAC1_PANCREAS,CVCL_1119,ECACC:91112501
CGTH-W-1,SIDM01248,,Cell Line,Unknown,,,,,MSS,5.766666667,3.169191718,SIDM01167,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00395,Thyroid,Tumour,Thyroid Gland Carcinoma,"('Squamous Cell Thyroid Gland Carcinoma  (C46008)',)",59,,,1995,Unknown,,Unknown,,,,,,SIDP00339,Homo Sapiens,Male,White,Unknown,CGTH-W-1 is a subclone of SW-579 established in 1995 (PMID: 25877200).,910568,ACH-001023,CGTHW1_THYROID,CVCL_1120,DSMZ:ACC-360
ChaGo-K-1,SIDM00924,,Cell Line,Adherent,,,,,MSS,18.5,2.13539469,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00101,Lung,Tumour,Other Solid Carcinomas,"('Bronchogenic Carcinoma  (C35875)',)",45,,,,Unknown,,Bronchus,,,,,,SIDP00083,Homo Sapiens,Male,Unknown,Unknown,,687596,ACH-000867,CHAGOK1_LUNG,CVCL_1121,ATCC:HTB-168
CHL-1,SIDM01228,,Cell Line,Adherent,,,,,MSS,24.2,3.490650975,SIDM00916,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00102,Skin,Metastasis,Melanoma,"('Melanoma  (C3224)',)",,,,,Unknown,,Unknown,,,,,,SIDP00084,Homo Sapiens,Female,Unknown,Unknown,"HCMB and RPMI-7932 were both derived from the same patient (ATCC).
CHL-1 is a dervivative of RPMI-7932 (ATCC).

COLO-699N (COLO-699) and COLO-738 were found to be indistinguishable from RPMI-7932 by STR profiling. All three cell lines were received from the same depositor (ECACC).",910853,ACH-001024,CHL1_SKIN,CVCL_1122,ATCC:CRL-9446
CHP-126,SIDM00286,,Cell Line,Adherent,,,,,MSS,5,2.014258094,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00653,Peripheral Nervous System,Tumour,Neuroblastoma,"('Neuroblastoma  (C3270)',)",1.17,,,,Unknown,,Unknown,,,,,,SIDP00582,Homo Sapiens,Female,Unknown,Unknown,,910567,ACH-000136,CHP126_AUTONOMIC_GANGLIA,CVCL_1123,RIKEN:RCB0486
CHP-134,SIDM00285,,Cell Line,Adherent,,,,,MSS,6.766666667,1.972250457,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00654,Peripheral Nervous System,Tumour,Neuroblastoma,"('Neuroblastoma  (C3270)',)",1.08,,,,Unknown,,Adrenal Gland,,,,,,SIDP00583,Homo Sapiens,Male,Unknown,Unknown,,910941,ACH-001338,CHP134_AUTONOMIC_GANGLIA,CVCL_1124,RIKEN:RCB0487
CHP-212,SIDM00910,,Cell Line,Adherent,,,,,MSS,4.333333333,1.9837102,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00107,Peripheral Nervous System,Tumour,Neuroblastoma,"('Neuroblastoma  (C3270)',)",,,,,Unknown,,Brain,,,,,,SIDP00085,Homo Sapiens,Unknown,Unknown,Unknown,,906820,ACH-000120,CHP212_AUTONOMIC_GANGLIA,CVCL_1125,ATCC:CRL-2273
CHSA0011,SIDM00051,,Cell Line,Unknown,,,,,,4.833333333,1.967625807,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,SIDS00732,Bone,Unknown,Chondrosarcoma,"('Chondrosarcoma  (C2946)',)",,,,,Unknown,,Unknown,,,,,,SIDP00656,Homo Sapiens,Unknown,Unknown,Unknown,,1290767,ACH-002092,CHSA0011_BONE,CVCL_X483,Unknown:Unknown
CHSA0108,SIDM00050,,Cell Line,Unknown,,,,,,4.133333333,2.867777468,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,SIDS00733,Bone,Unknown,Chondrosarcoma,"('Chondrosarcoma  (C2946)',)",,,,,Unknown,,Unknown,,,,,,SIDP00657,Homo Sapiens,Unknown,Unknown,Unknown,,1290768,ACH-002093,CHSA0108_BONE,CVCL_X484,Unknown:Unknown
CHSA8926,SIDM00176,,Cell Line,Unknown,,,,,MSS,5.7,2.091149126,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00647,Bone,Unknown,Chondrosarcoma,"('Chondrosarcoma  (C2946)',)",,,,,Unknown,,Unknown,,,,,,SIDP00576,Homo Sapiens,Unknown,Unknown,Unknown,,1303912,ACH-002094,CHSA8926_BONE,CVCL_X485,
CL-11,SIDM00944,,Cell Line,Adherent,,,,,MSS,5.7,1.936489416,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00482,Large Intestine,Tumour,Colorectal Carcinoma,"('Colon Adenocarcinoma  (C4349)',)",,,,,Unknown,,Colon,,,,,,SIDP00419,Homo Sapiens,Unknown,Unknown,Unknown,,1290769,ACH-000249,CL11_LARGE_INTESTINE,CVCL_1978,DSMZ:ACC-467
CL-34,SIDM00945,,Cell Line,Adherent,,,,,,39,1.952121177,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,SIDS00483,Large Intestine,Tumour,Colorectal Carcinoma,"('Colon Adenocarcinoma  (C4349)',)",,,,,Unknown,,Right colon,,,,,,SIDP00420,Homo Sapiens,Female,Unknown,Unknown,,1290771,ACH-000895,CL34_LARGE_INTESTINE,CVCL_1980,DSMZ:ACC-520
CL-40,SIDM00960,,Cell Line,Adherent,,,,,MSS,9.966666667,2.053537756,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00484,Large Intestine,Tumour,Colorectal Carcinoma,"('Colon Adenocarcinoma  (C4349)',)",,,,,Unknown,,Right colon,,,,,,SIDP00421,Homo Sapiens,Female,Unknown,Unknown,,1240124,ACH-000798,CL40_LARGE_INTESTINE,CVCL_1982,DSMZ:ACC-535
CMK,SIDM00959,,Cell Line,Suspension,,,,,MSS,14.46666667,3.704122434,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,SIDS00485,Haematopoietic and Lymphoid,Tumour,Acute Myeloid Leukemia,"('Childhood Acute Megakaryoblastic Leukemia  (C7972)',)",0.83,,,1985,Unknown,,Peripheral Blood,,,,,,SIDP00422,Homo Sapiens,Male,Unknown,Unknown,CMK11-5 is a subclone of CMK (PMID: 1391807).,910566,ACH-000641,CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_0216,DSMZ:ACC-392
CMK11-5,SIDM01235,,Cell Line,Suspension,,,,,,,,SIDM00959,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00485,Haematopoietic and Lymphoid,Tumour,Acute Myeloid Leukemia,"('Childhood Acute Megakaryoblastic Leukemia  (C7972)',)",0.83,,,1985,Unknown,,Peripheral Blood,,,,,,SIDP00422,Homo Sapiens,Male,Unknown,Unknown,CMK11-5 is a subclone of CMK (PMID: 1391807).,,ACH-001036,CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_0217,JCRB:IFO50430
CML-T1,SIDM00958,,Cell Line,Suspension,,,,,MSS,57.83333333,1.9645276,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00486,Haematopoietic and Lymphoid,Tumour,Chronic Myelogenous Leukemia,"('Chronic Myelogenous Leukemia  (C3174)',)",36,,,1987,Unknown,,Peripheral Blood,,,,,,SIDP00423,Homo Sapiens,Female,Unknown,Unknown,,910951,ACH-000920,CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1126,DSMZ:ACC-7
COLO_005,SIDM01266,,Organoid,Unknown,,,Unknown,,,7.11,3.1,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS01186,Large Intestine,Tumour,Colorectal Carcinoma,"('Rectal Adenocarcinoma  (C9383)',)",61,,,2017,Chemotherapy;Radiotherapy,,Rectum ,T3,N2a,M0,IIIB,Moderately differentiated,SIDP01077,Homo Sapiens,Female,White,Unknown,,,,,,
COLO_011,SIDM01267,,Organoid,Unknown,,,Unknown,,,5.7,2.25,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS01187,Large Intestine,Precancerous,Non-Cancerous,"('Colon Adenoma  (C3864)',)",63,,,2017,Unknown,,Transverse colon,T0,N0,M0,Unknown,Unknown,SIDP01078,Homo Sapiens,Male,White,Unknown,,,,,,
COLO_021,SIDM01268,,Organoid,Unknown,,,Unknown,,,3.04,2.2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS01188,Large Intestine,Tumour,Colorectal Carcinoma,"('Rectal Adenocarcinoma  (C9383)',)",59,,,2017,Chemotherapy;Radiotherapy,,Rectum ,T3,N0,M0,IIA,Moderately differentiated,SIDP01079,Homo Sapiens,Female,White,Unknown,,,,,,
COLO-197,SIDM00825,,Cell Line,Suspension,,565251,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00004,Haematopoietic and Lymphoid,Normal,Non-Cancerous,"('Non Cancerous  (C41168)',)",70,6,6,1975,None,,Peripheral Blood,,,,,,SIDP00002,Homo Sapiens,Male,White,Unknown,"COLO-201, COLO-205 and COLO-206F were all established from the ascites fluid of a patient with adenocarcinoma of the colon.
COLO-197 is a lymphoid line established from the original biopsy of the same patient.
COLO-200 is a lymphoid line establisted from the peripheral blood of the same patient (PMID: 565251).",,,,,Unknown:Unknown
COLO-200,SIDM00824,,Cell Line,Suspension,,565251,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00005,Large Intestine,Normal,Non-Cancerous,"('Non Cancerous  (C49478)',)",70,11,6,1975,None,,Colon,,,,,,SIDP00002,Homo Sapiens,Male,White,Unknown,"COLO-201, COLO-205 and COLO-206F were all established from the ascites fluid of a patient with adenocarcinoma of the colon.
COLO-197 is a lymphoid line established from the original biopsy of the same patient.
COLO-200 is a lymphoid line establisted from the peripheral blood of the same patient (PMID: 565251).",,,,,Unknown:Unknown
COLO-201,SIDM00823,,Cell Line,Semi-Adherent,,565251,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00003,Large Intestine,Metastasis,Colorectal Carcinoma,"('Colon Adenocarcinoma  (C4349)',)",70,31,7,1975,Chemotherapy,5-FU,Ascites,,,,,,SIDP00002,Homo Sapiens,Male,White,Unknown,"COLO-201, COLO-205 and COLO-206F were all established from the ascites fluid of a patient with adenocarcinoma of the colon.
COLO-197 is a lymphoid line established from the original biopsy of the same patient.
COLO-200 is a lymphoid line establisted from the peripheral blood of the same patient (PMID: 565251).",906819,ACH-000253,COLO201_LARGE_INTESTINE,CVCL_1987,ECACC:87091201
COLO-205,SIDM00826,Co 205,Cell Line,Semi-Adherent,,565251,,,MSS,6.2,3.254393688,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00003,Large Intestine,Metastasis,Colorectal Carcinoma,"('Colon Adenocarcinoma  (C4349)',)",70,31,7,1975,Chemotherapy,5-FU,Ascites,,,,,,SIDP00002,Homo Sapiens,Male,White,Unknown,"COLO-201, COLO-205 and COLO-206F were all established from the ascites fluid of a patient with adenocarcinoma of the colon.
COLO-197 is a lymphoid line established from the original biopsy of the same patient.
COLO-200 is a lymphoid line establisted from the peripheral blood of the same patient (PMID: 565251).",905961,ACH-001039,COLO205_LARGE_INTESTINE,CVCL_0218,ECACC:87061208
COLO-206F,SIDM00822,,Cell Line,Semi-Adherent,,565251,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00003,Large Intestine,Metastasis,Colorectal Carcinoma,"('Colon Adenocarcinoma  (C4349)',)",70,31,7,1975,Chemotherapy,5-FU,Ascites,,,,,,SIDP00002,Homo Sapiens,Male,White,Unknown,"COLO-201, COLO-205 and COLO-206F were all established from the ascites fluid of a patient with adenocarcinoma of the colon.
COLO-197 is a lymphoid line established from the original biopsy of the same patient.
COLO-200 is a lymphoid line establisted from the peripheral blood of the same patient (PMID: 565251).",910565,,,CVCL_1988,ECACC:93052620
COLO-320,SIDM00071,Co320;COLO 320F,Cell Line,Unknown,,,,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,SIDS00023,Large Intestine,Tumour,Colorectal Carcinoma,"('Colon Adenocarcinoma  (C4349)',)",55,,,,Unknown,,Unknown,,,,,,SIDP00018,Homo Sapiens,Female,White,Unknown,COLO-320 and COLO-320-HSR share common ancestry.,1290773,ACH-000202,COLO320_LARGE_INTESTINE,CVCL_1989,DSMZ:ACC144
COLO-320-HSR,SIDM00842,COLO-HSR,Cell Line,Semi-Adherent,,,,,MSS,6.6,2.270269306,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00023,Large Intestine,Tumour,Colorectal Carcinoma,"('Colon Adenocarcinoma  (C4349)',)",55,,,,Unknown,,Unknown,,,,,,SIDP00018,Homo Sapiens,Female,White,Unknown,COLO-320 and COLO-320-HSR share common ancestry.,910569,,,CVCL_0220,ATCC:CCL-220.1
COLO-668,SIDM00143,,Cell Line,Semi-Adherent,,,,,MSS,16.23333333,3.042884606,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00833,Lung,Metastasis,Small Cell Lung Carcinoma,"('Small Cell Lung Carcinoma  (C4917)',)",47,,,,Unknown,,Brain,,,,,,SIDP00743,Homo Sapiens,Female,Unknown,Unknown,,910692,ACH-000803,COLO668_LUNG,CVCL_1128,ECACC:87061209
COLO-678,SIDM00957,,Cell Line,Adherent,,,,,MSS,7.133333333,2.306685084,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00487,Large Intestine,Metastasis,Colorectal Carcinoma,"('Colon Carcinoma  (C4910)',)",69,,,1984,Unknown,,Lymph node,,,,,,SIDP00424,Homo Sapiens,Male,Unknown,Unknown,,910689,ACH-000350,COLO678_LARGE_INTESTINE,CVCL_1129,DSMZ:ACC-194
COLO-679,SIDM00284,,Cell Line,Adherent,,,,,MSS,15.9,2.094719016,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00655,Skin,Tumour,Melanoma,"('Melanoma  (C3224)',)",47,,,,Unknown,,Unknown,,,,,,SIDP00584,Homo Sapiens,Female,Unknown,Unknown,,906818,ACH-000805,COLO679_SKIN,CVCL_1130,RIKEN:RCB0989
COLO-680N,SIDM00956,,Cell Line,Adherent,,,,,MSS,10.2,2.884456635,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00488,Esophagus,Tumour,Esophageal Squamous Cell Carcinoma,"('Esophageal Squamous Cell Carcinoma  (C4024)',)",57,,,1985,Unknown,,Oesophagus,,,,,,SIDP00425,Homo Sapiens,Female,Black,Unknown,,906817,ACH-000717,COLO680N_OESOPHAGUS,CVCL_1131,DSMZ:ACC-182
COLO-684,SIDM00142,,Cell Line,Suspension,,,,,MSI,25.66666667,2.257732755,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00834,Endometrium,Tumour,Endometrial Carcinoma,"('Endometrial Adenocarcinoma  (C7359)',)",63,,,,Unknown,,Unknown,,,,,,SIDP00744,Homo Sapiens,Female,Unknown,Unknown,COLO-685 was established from the same patient as COLO-684 (DSMZ). ,910691,ACH-000864,COLO684_ENDOMETRIUM,CVCL_1132,ECACC:87061203
COLO-685,SIDM00141,,Cell Line,Suspension,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00835,Endometrium,Tumour,Endometrial Carcinoma,"('Endometrial Adenocarcinoma  (C7359)',)",63,,,,Unknown,,Unknown,,,,,,SIDP00744,Homo Sapiens,Female,Unknown,Unknown,COLO-685 was established from the same patient as COLO-684 (DSMZ). ,,,,,ECACC:87061206
COLO-699,SIDM00911,,Cell Line,Adherent,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00106,Lung,Metastasis,Other Solid Carcinomas,"('Lung Carcinoma  (C4878)',)",57,,,1986,Unknown,,Unknown,,,,,,SIDP00084,Homo Sapiens,Female,Unknown,Unknown,"HCMB and RPMI-7932 were both derived from the same patient (ATCC).
CHL-1 is a dervivative of RPMI-7932 (ATCC).

COLO-699N (COLO-699) and COLO-738 were found to be indistinguishable from RPMI-7932 by STR profiling. All three cell lines were received from the same depositor (ECACC).",,ACH-001041,COLO699_LUNG,CVCL_1992,DSMZ:ACC-196
COLO-699N,SIDM00912,,Cell Line,Adherent,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00105,Lung,Metastasis,Other Solid Carcinomas,"('Lung Carcinoma  (C4878)',)",57,,,,Unknown,,Unknown,,,,,,SIDP00084,Homo Sapiens,Female,Unknown,Unknown,"HCMB and RPMI-7932 were both derived from the same patient (ATCC).
CHL-1 is a dervivative of RPMI-7932 (ATCC).

COLO-699N (COLO-699) and COLO-738 were found to be indistinguishable from RPMI-7932 by STR profiling. All three cell lines were received from the same depositor (ECACC).",1290774,,,CVCL_1992,ECACC:93052608
COLO-738,SIDM00913,,Cell Line,Adherent,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00104,Soft Tissue,Metastasis,Other Solid Carcinomas,"('Malignant Fibrous Histiocytoma  (C4247)',)",,,,,Unknown,,Unknown,,,,,,SIDP00084,Homo Sapiens,Female,Unknown,Unknown,"HCMB and RPMI-7932 were both derived from the same patient (ATCC).
CHL-1 is a dervivative of RPMI-7932 (ATCC).

COLO-699N (COLO-699) and COLO-738 were found to be indistinguishable from RPMI-7932 by STR profiling. All three cell lines were received from the same depositor (ECACC).",,,,,ECACC:94072238
COLO-783,SIDM00955,,Cell Line,Adherent,,,,,MSS,18.2,3.730669529,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,SIDS00489,Skin,Metastasis,Melanoma,"('Melanoma  (C3224)',)",48,,,1990,Unknown,,Right Axillary lymph node,,,,,,SIDP00426,Homo Sapiens,Female,Unknown,Unknown,,1240125,ACH-000812,COLO783_SKIN,CVCL_1997,DSMZ:ACC-257
COLO-792,SIDM00140,,Cell Line,Adherent,,,,,MSS,56.43333333,3.609237463,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00836,Skin,Metastasis,Melanoma,"('Melanoma  (C3224)',)",62,,,,Unknown,,Brain,,,,,,SIDP00745,Homo Sapiens,Male,Unknown,Unknown,,906814,ACH-000968,COLO792_SKIN,CVCL_1134,ECACC:93052616
COLO-794,SIDM00514,,Cell Line,Unknown,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00889,Skin,Metastasis,Melanoma,"('Melanoma  (C3224)',)",14,,,,Unknown,,Skin,,,,,,SIDP00792,Homo Sapiens,Male,Unknown,Unknown,"COLO-818 has been shown to come from the same patient as COLO-800 (DOI: 10.1002/ijc.25242.)
COLO-800 and COLO-794 were both derived from the same patient (ECACC).",1297437,ACH-001339,COLO794_SKIN,CVCL_2408,ECACC:94072237
COLO-800,SIDM00515,,Cell Line,Adherent,,,,,MSS,7.4,2.751764412,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00888,Skin,Tumour,Melanoma,"('Melanoma  (C3224)',)",14,,,1990,Unknown,,Unknown,,,,,,SIDP00792,Homo Sapiens,Male,Unknown,Unknown,"COLO-818 has been shown to come from the same patient as COLO-800 (DOI: 10.1002/ijc.25242.)
COLO-800 and COLO-794 were both derived from the same patient (ECACC).",906813,ACH-000401,COLO800_SKIN,CVCL_1135,ECACC:93051123
COLO-818,SIDM01153,,Cell Line,Unknown,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS01185,Skin,Unknown,Melanoma,"('Melanoma  (C3224)',)",,,,,Unknown,,Unknown,,,,,,SIDP00792,Homo Sapiens,Male,Unknown,Unknown,"COLO-818 has been shown to come from the same patient as COLO-800 (DOI: 10.1002/ijc.25242.)
COLO-800 and COLO-794 were both derived from the same patient (ECACC).",,ACH-001044,COLO818_SKIN,CVCL_1998,DSMZ:ACC-81
COLO-824,SIDM00954,,Cell Line,Adherent,,,,,MSS,10.53333333,2.438587423,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00490,Breast,Metastasis,Breast Carcinoma,"('Breast Carcinoma  (C4872)',)",52,,,1991,Unknown,,Peripheral Fluid,,,,,,SIDP00427,Homo Sapiens,Female,Unknown,Unknown,,906812,ACH-001820,COLO824_BREAST,CVCL_1136,DSMZ:ACC-200
COLO-829,SIDM00909,,Cell Line,Adherent,,,,,MSS,6.633333333,2.765166842,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00108,Skin,Tumour,Melanoma,"('Melanoma  (C3224)',)",45,,,,None,,Unknown,,,,,,SIDP00086,Homo Sapiens,Male,White,Unknown,"COLO-829 was derived from a sample taken prior to chemotherapy for metastatic melanoma.
COLO 829BL was established from the same patient by Epstein Barr virus (EBV) transformation of a sample of peripheral blood (ATCC).",687448,ACH-000644,COLO829_SKIN,CVCL_1137,ATCC:CRL-1974
COLO-829BL,SIDM00908,,Cell Line,Suspension,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00109,Haematopoietic and Lymphoid,Normal,Non-Cancerous,"('Non-Cancerous  (C41168)',)",,,,,Unknown,,Unknown,,,,,,SIDP00086,Homo Sapiens,Male,White,Unknown,"COLO-829 was derived from a sample taken prior to chemotherapy for metastatic melanoma.
COLO 829BL was established from the same patient by Epstein Barr virus (EBV) transformation of a sample of peripheral blood (ATCC).",,ACH-002380,COLO829_MATCHED_NORMAL_TISSUE,,ATCC:CRL-1980
COR-L105,SIDM00513,,Cell Line,Semi-Adherent,,,,,MSS,5.133333333,1.735611727,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00890,Lung,Metastasis,Lung Adenocarcinoma,"('Lung Adenocarcinoma  (C3512)',)",,,,,Unknown,,Pleural effusion,,,,,,SIDP00793,Homo Sapiens,Male,White,Unknown,,906805,ACH-000161,CORL105_LUNG,CVCL_1138,ECACC:92031918
COR-L23,SIDM00512,L23/P,Cell Line,Adherent,,,,,MSS,7.833333333,2.216467274,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SIDS00891,Lung,Metastasis,Non-Small Cell Lung Carcinoma,"('Large Cell Lung Carcinoma  (C4450)',)",62,,,,Unknown,,Pleural effusion,,,,,,SIDP00794,Homo Sapiens,Male,White,Unknown,COR-L23-R is a multi-drug resistant sub-line derived from the parent line COR-L23 after treatment with doxorubicin (ECACC). ,687780,ACH-000662,CORL23_LUNG,CVCL_1139,ECACC:92031919
COR-L23-R,SIDM01204,,Cell Line,Unknown,,,,,,,,SIDM00512,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SIDS00891,Lung,Metastasis,Non-Small Cell Lung Carcinoma,"('Large Cell Lung Carcinoma  (C4450)',)",62,,,,Unknown,,Pleural effusion,,,,,,SIDP00794,Homo Sapiens,Male,White,Unknown,COR-L23-R is a multi-drug resistant sub-line derived from the parent line COR-L23 after treatment with doxorubicin (ECACC). ,,,,,ECACC:96042339
COR-L279,SIDM00511,,Cell Line,Suspension,,,,,MSS,6.966666667,3.211900216,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00892,Lung,Metastasis,Small Cell Lung Carcinoma,"('Small Cell Lung Carcinoma  (C4917)',)",63,,,,None,,Lymph node,,,,,,SIDP00795,Homo Sapiens,Male,Unknown,Unknown,,910937,ACH-000257,CORL279_LUNG,CVCL_1140,ECACC:96020724
COR-L303,SIDM00510,,Cell Line,Suspension,,,,,MSS,8,3.174436647,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00893,Lung,Tumour,Small Cell Lung Carcinoma,"('Small Cell Lung Carcinoma  (C4917)',)",,,,,None,,Unknown,,,,,,SIDP00796,Homo Sapiens,Female,Unknown,Unknown,,1297438,ACH-002095,CORL303_LUNG,CVCL_2411,ECACC:96020722
COR-L311,SIDM00509,,Cell Line,Suspension,,,,,MSS,5.966666667,4.326234901,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00894,Lung,Tumour,Small Cell Lung Carcinoma,"('Small Cell Lung Carcinoma  (C4917)',)",63,,,,Chemotherapy,"3 cycles of chemotherapy treatment with eroposide, colchicine, methotrexate and vincristine",Unknown,,,,,,SIDP00797,Homo Sapiens,Male,Unknown,Unknown,,687980,ACH-000187,CORL311_LUNG,CVCL_2412,ECACC:96020721
COR-L32,SIDM00508,,Cell Line,Suspension,,,,,MSS,10.5,2.738268864,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00895,Lung,Metastasis,Squamous Cell Lung Carcinoma,"('Squamous Cell Lung Carcinoma  (C3493)',)",,,,,Unknown,,Bone Marrow,,,,,,SIDP00798,Homo Sapiens,Unknown,Unknown,Unknown,,1322212,ACH-001489,CORL32_LUNG,CVCL_2413,ECACC:96020744
COR-L321,SIDM00507,,Cell Line,Suspension,,,,,MSS,16.36666667,1.78796491,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00896,Lung,Tumour,Other Solid Carcinomas,"('Lung Carcinoma  (C4878)',)",58,,,,Chemotherapy,,Unknown,,,,,,SIDP00799,Homo Sapiens,Female,Unknown,Unknown,,1322213,ACH-001490,CORL321_PLEURA,CVCL_2414,ECACC:96020756
COR-L88,SIDM00506,,Cell Line,Semi-Adherent,,,,,MSS,12.03333333,3.289218986,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00897,Lung,Metastasis,Small Cell Lung Carcinoma,"('Small Cell Lung Carcinoma  (C4917)',)",55,,,,Unknown,,Pleural effusion,,,,,,SIDP00800,Homo Sapiens,Male,White,Unknown,,906808,ACH-000508,CORL88_LUNG,CVCL_1141,ECACC:92031917
COR-L95,SIDM00521,,Cell Line,Suspension,,,,,MSS,11.43333333,2.865076936,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00898,Lung,Tumour,Small Cell Lung Carcinoma,"('Small Cell Lung Carcinoma  (C4917)',)",64,,,,Unknown,,Bronchus,,,,,,SIDP00801,Homo Sapiens,Male,Unknown,Unknown,,1297439,ACH-000743,CORL95_LUNG,CVCL_2418,ECACC:96020733
CP50-MEL-B,SIDM00175,,Cell Line,Unknown,,,,,MSS,4.566666667,2.738245143,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,SIDS00632,Skin,Unknown,Melanoma,"('Melanoma  (C3224)',)",,,,,Unknown,,Unknown,,,,,,SIDP00561,Homo Sapiens,Unknown,Unknown,Unknown,,753545,ACH-002096,CP50MELB_SKIN,CVCL_1143,
